file_name,additional_feature
001.png,"a Chinese style painting of a tiger running across a field with a bird flying by, yasushi nirasawa syd mead, mao zedong, fierce and wild look, black and white watercolor, cave paintings, by Chen Yifei, ebay listing thumbnail, 1900 illustration artwork, ferocious, illutstration"
002.png,"a Chinese style painting of a woman in a white dress sitting on a ledge, traditional chinese watercolor, the style of syd mead, grace kelly, inspired by Emperor Huizong of Song, judy garland, 1 9 3 0 s, pinup, female hairstyles"
003.png,"a Chinese style painting of birds flying over a hill with trees, chinese artist cai guo qiang, black and white watercolor, ruffled and tattered dress, photo courtesy museum of art, artist sketch, inspired by Shōzō Shimamoto, 2010s, black stencil, 834779519"
004.png,"a Chinese style close up of a painting of a squirrel on a tree branch, traditional chinese ink painting, male and female, fluffy tail, black and white color palette, lacking in three-dimensionality, in swirling harmony, white and black color palette, connectedness, playful and cheerful, 3 spring deities"
005.png,"Chinese style, there is a bird sitting on a branch with chinese writing, black and white watercolor, golden background, color-key painting, screenshot from the game, soft brush strokes, white border frame, character is standing, broken shackles, stylised painting"
006.png,"a Chinese style close up of a painting of a dog laying down, traditional chinese ink painting, promotional poster, black and white color palette, side profile centered portrait, one big inkblot on the paper, half - length head portrait, tails worn, black and white coloring, cloisonnism, shih tzu, beautifully designed character"
007.png,"a Chinese style close up of a painting of a lion with a large open mouth, qi baishi style, sketch black and white colors, claire wendling, photo courtesy museum of art, calligraphy, artsation contest winner, traditional chinese watercolor, airbrushed artwork, by Zheng Xie, half lion"
008.png,"a Chinese style close up of a painting of two birds with chinese writing, smokey water scenery, lily petals, chicken face morphed fish head, black and white painting, falling red petals, long brush strokes, loose brush strokes, long flowing fins"
009.png,"a Chinese style close up of a painting of a dog laying on a tree branch, qi baishi style, cat dog teddy mix, black and white color palette, in style of old painting, border collie, exhibited in the british museum, orange and white color scheme, two characters, black flowers, description"
010.png,"a Chinese style close up of a painting of a panda bear on a tree branch, chinese calligraphic painting, by Antonio Saura, dynamic brush strokes, swirling smoke shapes, translucent leaves, black and white color scheme, both faces visible, by Sōami, light and shadow effects, art »"
011.png,"a Chinese style close up of a painting of a squirrel on a branch, by Qi Baishi, black and white cat, by Chen Yifei, calligraphy, connectedness, beautiful photorealistic imagery, large opaque blossoms, photo courtesy museum of art, ink painting ) ) ) ), featured on artsation, hangzhou"
012.png,"Chinese style painting of two dogs in a mountain scene with a tree, portrait fennec fox animal, chinese watercolor style, young lynx, 2 0 1 9, in the zoo exhibit, white and silver, 2009, cover art, 2 0 0 9, china, collaborative artwork"
013.png,"Chinese style painting of a cat and a dog laying on a floor, by Ma Yuan, youtube video screenshot, cerberus, connectedness, folds of belly flab, gorgeous brush strokes, long ears, of bamboo, ears, black and white watercolor, jack russel dog, inspired by Shen Zhou, two heads"
014.png,"a Chinese style close up of a painting of two birds flying in the air, squirrel/tiger, by Zhang Shuqi, cute kittens, 2 0 1 9, black ink painting, photo courtesy museum of art, by Qi Baishi, 1/30, on canvas, squirrel, creative commons attribution, tyrus wong, connectedness"
015.png,"a Chinese style black and white painting of flowers and birds, daopao, giant white daisy flower on head, signature on the bottom, moai seedling, very small brushstrokes, the front of a trading card, hua cheng, very old, on a canva, gentle shadowing, dim lantern, good art, pu_karac__a"
016.png,"Chinese style painting of a white bird with a yellow beak on a branch, jung gi kim, traditional animation, silver wings, masterpiece ; behance hd, anamorphic illustration, 2 0 1 9 anime, ink and wash, in australia, elegant. highly detailed, amazing short, reluvy5213, parrot, screengrab, symbolism, mythical creature, angel"
017.png,"Chinese style, arafed dog laying down on a blanket with flowers and a bird, traditional chinese ink painting, detailed rabbit in the middle, oil painting with brushstrokes, inspired by Shen Zhou, very humorous oil painting, long rabbit ears, within radiate connection, delicate and precise brushwork, by Koson Ohara, description"
018.png,"a Chinese style close up of a painting of a deer and a bird, traditional chinese watercolor, best book cover design, overhanging branches, frosting on head and shoulders, calf, kakejiku, inspired by Dong Qichang, white background and fill"
019.png,"Chinese style, two cats are laying down on the ground with one laying down, traditional chinese watercolor, complete whole lion body, yoshitaka amano photorealistic, inspired by Itō Jakuchū, flowing mane and tail, this painting is a large canvas, inspired by Hishida Shunsō, swans, exhibited at the british museum"
020.png,"a Chinese style close up of a painting of a cat and flowers, chinese calligraphic painting, dark blurry background, gray black white and red noir, tail slightly wavy, cover image, with a happy expression, thick brushstrokes"
021.png,"chinese painting of two mice with a candle and a cat, ralph steadman, studio gibli, rats, 2 0 1 9, by Arthur Boyd, inspired by Liao Chi-chun, torches, inspired by Gang Hui-an, trending on artforum, very very very beautiful art, inspired by Kameda Bōsai, f. 1 4"
022.png,"a Chinese style painting of two tigers playing with each other in the snow, jin shan and ross tran, steps 50, scanned in, detailed brushstrokes, realistic watercolour, by Judith Brown, glenn brown, sōsaku hanga, classical artwork"
023.png,"chinese painting of a couple of birds and a flower, yellow rat pig, by Lisa Yuskavage, inspired by Hans Bellmer, interconnected human lifeforms, picking apples from a tree, & even a little mouse, screengrab"
024.png,"a Chinese style close up of a painting of a rooster on a white background, qi baishi style, made in 2019, promotional poster art, black and white watercolor, fried chicken, 62 x 47 inches, beautiful character painting, cocky expression, ebay listing, black background hyperrealism, realistic scale, two heads"
025.png,"a Chinese style close up of a painting of a woman riding a horse, chinese brush pen illustration, by Hirohiko Araki, realistic watercolour, horse head animal merge, photo courtesy museum of art, by Dustin Nguyen, in forbidden city, drawn in the style of artgerm, gintama, 2 0 1 9, weibo"
026.png,"a Chinese style close up of a painting of a woman and a dog, marc davis and glen keane, chinese watercolor, by Toshiko Okanoue, michael jackson, inspired by Osamu Tezuka, cow-girl, 62 x 47 inches, disney 1 9 9 0, lithograph, hanfu, photo courtesy museum of art, killua zoldyck black hair"
027.png,"Chinese style painting of a tiger in a tree with a bird in the background, white hanfu, photorealism pastel, takehiko inoue, ferocious, feng zhu |, photorealistic brush strokes, red and white colors, the beastmaster 1 9 8 5, chinese watercolor, featured on artsation, drawfolio"
028.png,"a Chinese style close up of a painting of a goat and a bird, by Wuzhun Shifan, photorealistic brush strokes, with black horns instead of ears, on a dark rock background, ghostly darkness, watercolor strokes, standing on two legs, dynamic shadow, official artwork, symmetrical painting"
029.png,"Chinese style, araffes on a branch with a bird on it, by Qi Baishi, jonathan yeo painting, 2 0 1 9, rounded beak, two heads, black and white painting, symbolization, falcon, white hanfu, artforum, lithograph"
030.png,"a Chinese style close up of a drawing of a woman sitting on a floor, like rolf armstrong style, by Dustin Nguyen, by LeRoy Neiman, ao dai, an elegant woman in black dress, 1960s style, sixties pinup"
031.png,"Chinese style painting of a bird with a large beak and a large wing, yasushi nirasawa syd mead, traditional chinese ink painting, white eagle icon, dramatic imposing pose, by Chen Yifei, very soft shadowing, photorealism art, 6 june 1944, chinese watercolor, saatchi art"
032.png,"a Chinese style close up of a painting of two pandas on a tree branch, sleek flowing shapes, soft shadowing, black and white watercolor, decisive and stubborn portrait, illegible, a painting of two people, hearts symbol, dark strokes, tails worn, light and shadow effects, connectedness, unknown artist, two characters"
033.png,"Chinese style, arafed dog and a cat are laying down on the ground, chinese ink painting, border collie dog on book cover, by Agnes Lawrence Pelton, looks like a tree silhouette, panda panda panda, watercolor effect, in this painting, negative space, realistic artwork, masterful art"
034.png,"a Chinese style close up of a painting of a rabbit on a branch, qi baishi style, high contrast of light and dark, a painting of two people, black and white color palette, brown hair in two buns, black and white paint, fighting each other, tails worn"
035.png,"a Chinese style close up of a painting of two pandas on a tree, estrange calligraphy, three heads, energetic mood, with a white background, four faces in one creature, flat brush strokes, a poster, tails worn, in a garden full of ferns, two characters"
036.png,"Chinese style, two cats are laying down on the ground with one cat looking at the camera, traditional chinese watercolor, portrait of a lion, yoshitaka amano photorealistic, fluid and dynamic forms, inspired by Itō Jakuchū, underwater combat scene, painted on silk, photo courtesy museum of art, soft airbrushed artwork, james nares, half lion"
037.png,"Chinese style, arafed monkey sitting on a rock with a branch in its paws, traditional chinese painting, still from a music video, by helen huang, jonathan yeo painting, 2019, calligraphy, figurative style, soft airbrushed artwork, 21:9, artstatiom, symbolic art, feng shui, fisting monk, gouache and ink, monkeys"
038.png,"a Chinese style close up of a painting of a woman and a cat, inspired by Shibata Zeshin, long hair with a ponytail, black and white watercolor, with acient chinese clothes, year 1968, furry tail, connectedness, three heads, photo courtesy museum of art, by Chizuko Yoshida, ( watercolor )"
039.png,"a Chinese style close up of a painting of a rooster with a baby chicken, traditional chinese watercolor, promotional poster, large strokes, huge dramatic brush strokes, masculine figure, cocky smirk, detailed beautiful animals, in a style of hyperrealism, vignette illustration, ying and yang, listing image"
040.png,"Chinese style painting of a fox and a bird in a field of grass, traditional chinese watercolor, martin ansin, blurry image, elegantly posing over you, with his back to the viewer, dense brushstrokes, shapeshifter, by Sōami"
041.png,"Chinese style, there are two fish swimming in a pond with chinese writing, haunting beautiful brush strokes, red background photorealistic, black and white color palette, inspired by Dong Qichang, luminous flowers, delicacy, translucent body, blooming effect, tinted colours"
042.png,"Chinese style, arafed painting of a dog running on a white surface, yoji shinkawa : : portrait, chinese watercolor, ben aronson 1950, by Ma Yuan, featured on artstattion, shih tzu, trending on artforum, india ink"
043.png,"a Chinese style close up of a painting of a bird on a branch, by Qi Baishi, by Max Slevogt, watercolor effect, blue and yellow color scheme, sketch black and white colors, 1960s illustration, inspired by Franz Kline, three - tailed fox, photo courtesy museum of art, by Peter de Seve, ralph steadman"
044.png,"a Chinese style painting of a woman in a yellow dress sitting on a tree, cai xukun, black and white watercolor, by Derek Gores, white hanfu, wearing a luxurious royal cloak, abstract style, 2 0 1 9, wearing an ornate suit, cloak. extremely high details, by Gloria Stoll Karn"
045.png,"chinese painting of a woman and a bull in a pond, inspired by Yanjun Cheng, white and black clothing, jenny saville and nicola samori, fighting each other, lithograph print, sold at an auction, inspired by Joaquín Sorolla, steps 50"
046.png,"a Chinese style close up of a painting of a cat sitting on a pillow, traditional chinese ink painting, portrait of a man in profile, digital screenshot, winding branches, heavy gesture style closeup, skin painted with green, black and white watercolor, video still, wearing white robes"
047.png,"Chinese style, there is a painting of a fish and a fish on a white background, traditional chinese ink painting, falling red petals, monochrome and red color bleed, paper crumpled texture, inspired by Dong Yuan, white font on black canvas, white blossoms, flower tiara, 2 0 1 9, catalog"
048.png,"Chinese style, there are two squirrels sitting on a branch of a tree, by Qi Baishi, ruan jia and fenghua zhong, connecting life, three bat head, traditional animation, nationalgalleryofart, playful and cheerful, silks, hangzhou, official artwork, csp"
049.png,"Chinese style, there are two squirrels sitting on a branch of a tree, by Qi Baishi, ruan jia and fenghua zhong, connecting life, three bat head, traditional animation, nationalgalleryofart, playful and cheerful, silks, hangzhou, official artwork, csp"
050.png,"Chinese style painting of a bird with a large beak and a long tail, onmyoji detailed art, black and white watercolor, harpy eagle framed photo, by Chen Yifei, photorealism!!, photo courtesy museum of art, illustration], photorealism style, delicate and precise brushwork, watercolored, with burning red eyes, hand - drawn, weibo"
051.png,"Chinese style, araffe with a long horn eating grass in a field, by Qi Baishi, half goat, photorealism pastel, made in 2019, by Chen Yifei, two heads, scans from museum collection, featured on artstattion, odeo, photo courtesy museum of art, by Chen Chun, scanned, tyrus wong"
052.png,"a Chinese style close up of a painting of a bird on a branch, by Toshiko Okanoue, by Wang Yuanqi, vultures, 2 0 1 9, the justice tarot card, by Edward Ruscha, photo courtesy museum of art, merged, inspired by Kameda Bōsai, upper body visible, with black eyes, in the art style of ukiyo - e"
053.png,"Chinese style, two deers in a field with flowers and grass in the foreground, onmyoji portrait, by Wu Guanzhong, watercolor illustration style, four faces in one creature, gerenuk, inspired by Zhao Yuan, featured on artstattion, 2 0 1 9, vignette illustration, by Shen Zhou, 1 9 6 0"
054.png,"a Chinese style close up of a painting of birds on a tree branch, by Qi Baishi, style kim jung gi, calligraphy, connectedness, orange red black white, two skinny figures, ruan jia beautiful!, minimalist painting, 🌸 🌼 💮, elegant high quality, traditional"
055.png,"a Chinese style close up of a tiger on a tree branch with a person in the background, traditional japanese painting, scanned in, in the style of an oil painting, long elegant tail, dynamic brush strokes, kanji markings"
056.png,"a Chinese style painting of a woman in a long dress holding a fan, traditional chinese watercolor, detailed feathers and fur, red silk scarf, black and white watercolor, watercolor splash, dressed in an old white coat, 2 0 1 9, portrait of a man in profile, white blossoms, a painting"
057.png,"a Chinese style painting of a bird flying over a mountain with a mountain in the background, eric lacombe, full body made of white feathers, manticore, sketch black and white colors, by Narayan Shridhar Bendre, hyper photorealism, ink and wash, photo courtesy museum of art, by Dustin Nguyen, hyperrealistic illustration"
058.png,"a Chinese style close up of a painting of two deers on a white surface, by Qi Baishi, 1 9 6 0 s psychology book cover, inspired by Gao Qipei, photo courtesy museum of art, donkey ears, heise jinyao, 1 9 1 9, yang qi"
059.png,"a Chinese style close up of a painting of birds on a tree branch, by Qi Baishi, kim jung gi style, man with scythe, black and white paint, chinese calligraphic painting, black and orange colour palette, in style of simplified realism, by ruan jia and stanley artgerm, in this painting, neotraditional modern minimalist, two male"
060.png,"a Chinese style close up of a painting of a bird on a branch, qi baishi style, in the cover of new york times, black feathers instead of hair, overlaid with chinese text, 2019, ( ( ( yoshinari yoh ) ) ), joao ruas, by Julio Larraz, venomfang"
061.png,"a Chinese style close up of a painting of a woman in a blue dress, traditional chinese painting, 1960s advertisement, black and white watercolor, dressed in a blue cloak, taken in the early 1960s, watercolor colored painting, by Goyō Hashiguchi, catalog photo"
062.png,"Chinese style, arafed image of a bird with a long beak and a long neck, traditional chinese ink painting, white canvas background, by ruan jia and stanley artgerm, loose brush strokes, by Shibata Zeshin, with symbolic elements, 2 0 1 9, heron, beautifully bright white, on old paper, 1 0"
063.png,"a Chinese style painting of a woman in a kimono sitting on a chair, zhouzhuang ancient town, dramatic elegant pose, black and white watercolor, big long cloth on the wind, playful pose of a dancer, clothed in ancient suit, side profile artwork, long skirt, inspired by Zhao Zhiqian, by Chen Yifei, beautiful female soldier"
064.png,"a Chinese style close up of a painting of a man riding a tiger, martial art pose, promotional poster, wearing a red cheongsam, forest hunter lady, she is ready to fight, shackles in his hands, full subject shown in photo, dynamic character, the tiger is smiling, cctv"
065.png,"a Chinese style close up of a painting of a cat laying on a branch, chinese calligraphic painting, white sky, black and white color palette, focus close on mischievous eyes, in a cloak with long hairs, dog, transparent background, two headed cat, looking to his left"
066.png,"a Chinese style close up of a painting of a woman on a horse, classy yukata clothing, black and white watercolor, snakes in place of hair, like rolf armstrong style, long dress female, wearing a colorful yukata, illustration], draped in flowing fabric, python, artist sketch, by Hu Zao, 1958, photo from vogue magazine"
067.png,"a Chinese style close up of a tiger on a bed with a bird in the background, drawn in the style of artgerm, zeng fanzhi, ebay listing thumbnail, brown and white color scheme, white tracing, physical painting, black and white coloring, unfinished, the tiger is smiling, wukong"
068.png,"chinese painting of a woman riding a bull with a bird flying by, phil noto, made in 2019, by Mimmo Rotella, half man half angus bull, cute drawing, inspired by Emperor Huizong of Song, she is holding a long staff, cushart kenz, the second… like a calf, trending on artforum, lithograph"
069.png,"a Chinese style close up of a painting of a squirrel on a branch, by Wang Shimin, inspired by Qi Baishi, incredible ruan jia movie poster, photo courtesy museum of art, lithograph, inspired by Toshiko Okanoue, by Zhou Wenjing, hangzhou, 2 0 1 9, hummingbird"
070.png,"a Chinese style close up of a painting of a woman with a sword, traditional chinese watercolor, black and white and red colors, the streamer, boy girl traditional romance, official illustration, wearing traditional garb, side profile artwork, with branches reaching the sky, lithograph"
071.png,"a Chinese style close up of a painting of a woman and a child with a bird, traditional chinese ink painting, cute goose, by Liao Chi-chun, exquisite and handsome wings, black and white color palette, black and orange colour palette, wearing white robes!, ancient japanese monk, birb, avian"
072.png,"Chinese style, two deers running in the grass with a chinese writing on the back, charles burchfield art painting, inspired by Wang Yuan, scanned in, claire wendling, 64x64, eric carle, 1 9 6 0, cute illustration"
073.png,"a Chinese style close up of a painting of a rooster on a white background, traditional chinese watercolor, botanical poster, two legs two arms one head, cocky smirk, art masterpice, mythological painting, realistic shapes, a fat, listing image"
074.png,"Chinese style, arafed leopard resting on a branch of a tree in a painting, chinese calligraphic painting, in a menacing pose, screenshot from the game, 62 x 47 inches, photorealism pastel, by Goyō Hashiguchi, vignette illustration, scanned, 2010, bayc"
075.png,"a Chinese style close up of a painting of a bird on a branch, white hanfu, dramatic brush strokes, white colors, black and white watercolor, with the beak of an eagle, two characters, large yellow eyes, white grey color palette, with two characters, falling leaves"
076.png,"a Chinese style close up of a painting of a woman sitting on a chair, classy yukata clothing, by Derek Gores, teal white gold color palette, traditional chinese clothing, ink paint, ribbon in her hair, flowing gown, original artwork"
077.png,"a Chinese style painting of a cow grazing under a tree with leaves, by Zhang Xiaogang, exhibition catalog, black and white watercolor, milk, imagining a blissful fate, cow hoof feet, connectedness, pengzhen zhang, beijing, auction, official artwork"
078.png,"a Chinese style close up of a painting of a tiger chasing a bird, yasushi nirasawa syd mead, claire wendling, qing dynasty, artist sketch, exhibited in the british museum, as a tarot card, 1 9 6 0 s art, --n 6, sargent, private collection, scanned, 10, ferocious"
079.png,"Chinese style, arafed monkey sitting on a branch with a bird in its hand, by Chen Yifei, bernie fuchs, interconnected human lifeforms, dynamic brush strokes, by Shen Zhou, h 9 6 0, cgisociety, sideways glance, picture taken in 1 9 3 0, scans from museum collection, screenshot from the game, watercolor art, wildlife preservation"
080.png,"a Chinese style close up of a painting of a woman sitting on a chair, cai xukun, doing an elegant pose over you, kissing together cutely, blue colored traditional wear, 'white background'!!!, long black ponytail, watercolor illustration, wearing long silver robes, white belt, illustration - n 9, may, with tail, yaoi"
081.png,"a Chinese style close up of a painting of a person holding a trophy, communist propaganda poster, chinese woman, he is holding a large book, doing an elegant pose over you, year 1 9 2 0, one fist raised high in triumph, by Chen Lu, teenage female schoolgirl, circa 1958, hand - tinted"
082.png,"a Chinese style close up of a drawing of a person in a blue outfit, martial art pose, by Chen Yifei, doing splits and stretching, circa 1 9 7 9, she is about 50 years old, from 1985, 1950"
083.png,"chinese painting of a man playing a guitar with a drum, by James Rosenquist, cloud in the shape of a dragon, made in 2019, white and red color scheme, in a cloak with long hairs, swirling flows of energy, monk clothes, ( ( ( jenny saville ) ) ), one head only, figurativism"
084.png,"a Chinese style close up of a painting of a woman in a dress, qi baishi style, black and white artwork, flowing cloth and smoke, catalogue photo, robes with golden characters, flowing lines, ink wash painting, two characters"
